"STCD"	"SZRQY"	"SZRQM"	"ZLGL_JBZ"	"ZLGL_ZXHL"	"ZLGL_SHZH"	"ZLGL_QT"	"CZSX_HDZ"	"CZSX_SKZ"	"CZSX_HPZ"	"CZSX_CWZ"	"CZSX_QDZ"	"CZSX_QTZ"	"PBSQ"
"61801830"	"1982"	"11"	"1"					"1"					
"61801840"	"1977"	"7"	"1"					"1"					
"61801850"	"1968"	"7"	"1"					"1"					
"61801870"	"1976"	"6"	"1"					"1"					
"61801880"	"1968"	"7"	"1"					"1"					
"61802000"	"1966"	"1"				"1"		"1"					
"61802100"	"1969"	"1"				"1"		"1"					
"61802200"	"1976"	"6"	"1"					"1"					
"61802260"	"1970"	"1"				"1"		"1"					
"61802300"	"2013"	"1"				"1"		"1"					
"61802310"	"1966"	"1"				"1"		"1"					
"61802350"	"1966"	"1"				"1"		"1"					
"61802450"	"2013"	"1"				"1"		"1"					
"61802500"	"1957"	"8"	"1"					"1"					"1"
"61802555"	"1968"	"1"				"1"		"1"					
"61802565"	"1966"	"1"				"1"		"1"					
"61802575"	"1967"	"1"				"1"		"1"					
"61802600"	"1952"	"11"	"1"				"1"						
"61802900"	"2004"	"5"	"1"				"1"						
"61803000"	"1936"	"7"	"1"				"1"						
"61803200"	"1980"	"5"	"1"				"1"						
"61803300"	"1983"	"7"	"1"				"1"						
"61803500"	"1929"	"5"	"1"				"1"						"1"
"61803600"	"1958"	"7"	"1"				"1"						
"61804111"	"1965"	"8"	"1"				"1"						"1"
"61804210"	"1929"	"1"	"1"				"1"						"1"
"61804300"	"1933"	"1"	"1"				"1"						"1"
"61804400"	"1929"	"9"	"1"				"1"						"1"
"61804705"	"1992"	"4"				"1"	"1"						
"61804709"	"2010"	"7"				"1"	"1"						
"61812200"	"2013"	"1"	"1"				"1"						
"61902590"	"2013"	"8"	"1"				"1"						
"61909390"	"2013"	"1"	"1"				"1"						
"62001910"	"1969"	"1"				"1"		"1"					
"62001920"	"1971"	"1"				"1"		"1"					
"62001925"	"1966"	"1"				"1"		"1"					
"62001935"	"2013"	"1"				"1"		"1"					
"62008260"	"1969"	"1"				"1"		"1"					
"62008265"	"1969"	"1"				"1"		"1"					
"62008270"	"1966"	"1"				"1"		"1"					
"62008275"	"1966"	"1"				"1"		"1"					
"62011700"	"2013"	"1"				"1"		"1"					
"62011900"	"1986"	"5"	"1"				"1"						
"62016500"	"1986"	"5"	"1"				"1"						
