"STNM"	"STCD"	"BSHNNM"	"HNNM"	"HL"	"DRAR"	"NT"
"羊角背               "	"60105430"	"F"	"F0"	"长江"	"0"	
"太洪岗                "	"60105440"	"F"	"F0"	"长江"		
"麻柳嘴(二) "	"60105450"	"F"	"F0"	"长江"	"0"	
"扇沱                    "	"60105460"	"F"	"F0"	"长江"		
"长寿（二）"	"60105500"	"F"	"F0"	"长江"	"0"	
"卫东"	"60105510"	"F"	"F0"	"长江"	"0"	
"大河口"	"60105520"	"F"	"F0"	"长江"	"0"	
"北拱"	"60105530"	"F"	"F0"	"长江"	"0"	
"沙溪沟"	"60105540"	"F"	"F0"	"长江"	"0"	
"清溪场（四）"	"60105700"	"F"	"F0"	"长江"	"965857"	"1、冻结基面为吴淞基面。2、冻结基面在“1985国家高程基准”以上-1.508m。"
"白沙沱（二）"	"60105730"	"F"	"F0"	"长江"	"0"	
"高 家 镇"	"60105740"	"F"	"F0"	"长江"	"0"	
"忠县（二）"	"60105900"	"F"	"F0"	"长江"		
"石宝寨"	"60105920"	"F"	"F0"	"长江"		
"万县（二）"	"60106000"	"F"	"F0"	"长江"	"974881"	"1、冻结基面为吴淞基面。2、冻结基面在“1985国家高程基准”以上：-1.804m。"
"双江（二）"	"60106100"	"F"	"F0"	"长江"		
"故陵"	"60106130"	"F"	"F0"	"长江"		
"奉节（二）"	"60106300"	"F"	"F0"	"长江"		
"巫山"	"60106600"	"F"	"F0"	"长江"		
"巴东㈢"	"60106700"	"F"	"F0"	"长江"		
"秭归㈢"	"60106800"	"F"	"F0"	"长江"		
"太平溪㈡"	"60106900"	"F"	"F0"	"长江"		
"银杏沱"	"60106910"	"F"	"F0"	"长江"		
"伍相庙"	"60106990"	"F"	"F0"	"长江"		
"茅坪㈡"	"60107000"	"F"	"F0"	"长江"		
"SW07"	"60107040"	"F"	"F0"	"长江"		
"中隔岛"	"60107070"	"F"	"F0"	"长江"		
"箱涵出口"	"60107080"	"F"	"F0"	"长江"		
"三斗坪㈡"	"60107100"	"F"	"F0"	"长江"		
"覃家沱㈡"	"60107110"	"F"	"F0"	"长江"		
"西陵桥（右）"	"60107120"	"F"	"F0"	"长江"		
"雷劈石"	"60107130"	"F"	"F0"	"长江"		
"坝河口"	"60107140"	"F"	"F0"	"长江"		
"黄陵庙"	"60107160"	"F"	"F0"	"长江"		
"乐天溪"	"60107165"	"F"	"F0"	"长江"		
"莲沱"	"60107180"	"F"	"F0"	"长江"		
"喜滩"	"60107181"	"F"	"F0"	"长江"		
"狮子垴"	"60107182"	"F"	"F0"	"长江"		
"石牌"	"60107190"	"F"	"F0"	"长江"		
"风箱沱"	"60107191"	"F"	"F0"	"长江"		
"平善坝"	"60107195"	"F"	"F0"	"长江"		
"南津关㈡"	"60107200"	"F"	"F0"	"长江"		
"黄柏河口"	"60107240"	"F"	"F0"	"长江"		
"葛洲坝5#"	"60107245"	"F"	"F0"	"长江"		
"葛洲坝7#"	"60107255"	"F"	"F0"	"长江"		
"葛洲坝8#"	"60107260"	"F"	"F0"	"长江"		
"李家河"	"60107265"	"F"	"F0"	"长江"		
"庙咀"	"60107270"	"F"	"F0"	"长江"		
"宝塔河"	"60107310"	"F"	"F0"	"长江"		
"胭脂坝"	"60107315"	"F"	"F0"	"长江"		
"艾家镇"	"60107320"	"F"	"F0"	"长江"		
"磨盘溪"	"60107330"	"F"	"F0"	"长江"		
"虎牙滩"	"60107335"	"F"	"F0"	"长江"		
"红花套"	"60107337"	"F"	"F0"	"长江"		
"杨家咀"	"60107340"	"F"	"F0"	"长江"		
"宜都"	"60107350"	"F"	"F0"	"长江"		
"董3"	"60107401"	"F"	"F0"	"长江"		
"董5"	"60107402"	"F"	"F0"	"长江"		
"荆12"	"60107403"	"F"	"F0"	"长江"		
"陈二口"	"60107405"	"F"	"F0"	"长江"		
"大布街"	"60107411"	"F"	"F0"	"长江"		
"马家店"	"60107700"	"F"	"F0"	"长江"		
"杨家脑"	"60107800"	"F"	"F0"	"长江"		
"涴市(比)"	"60107810"	"F"	"F0"	"长江"		
"涴市东(外)"	"60107820"	"F"	"F0"	"长江"		
"涴市东(内)"	"60107830"	"F"	"F0"	"长江"		
"涴市西(外)"	"60107840"	"F"	"F0"	"长江"		
"涴市西(内)"	"60107850"	"F"	"F0"	"长江"		
